,model,features,BA,Score
0,xgb,20,0.8257471827535522,0.8257471827535522
1,xgb,30,0.8257471827535522,0.8257471827535522
2,xgb,40,0.8257471827535522,0.8257471827535522
3,xgb,50,0.8257471827535522,0.8257471827535522
4,xgb,60,0.8257471827535522,0.8257471827535522
5,xgb,70,0.8257471827535522,0.8257471827535522
6,xgb,80,0.8257471827535522,0.8257471827535522
7,xgb,90,0.8257471827535522,0.8257471827535522
8,xgb,100,0.8257471827535522,0.8257471827535522
9,xgb,110,0.8257471827535522,0.8257471827535522
10,xgb,120,0.8257471827535522,0.8257471827535522
11,xgb,130,0.8257471827535522,0.8257471827535522
12,xgb,140,0.8257471827535522,0.8257471827535522
13,xgb,150,0.8257471827535522,0.8257471827535522
14,lda,20,0.7859872611464969,0.7859872611464969
15,lda,30,0.7859872611464969,0.7859872611464969
16,lda,40,0.7859872611464969,0.7859872611464969
17,lda,50,0.7859872611464969,0.7859872611464969
18,lda,60,0.7859872611464969,0.7859872611464969
19,lda,70,0.7859872611464969,0.7859872611464969
20,lda,80,0.7859872611464969,0.7859872611464969
21,lda,90,0.7859872611464969,0.7859872611464969
22,lda,100,0.7859872611464969,0.7859872611464969
23,lda,110,0.7859872611464969,0.7859872611464969
24,lda,120,0.7859872611464969,0.7859872611464969
25,lda,130,0.7859872611464969,0.7859872611464969
26,lda,140,0.7859872611464969,0.7859872611464969
27,lda,150,0.7859872611464969,0.7859872611464969
28,svc,20,0.8539441450269476,0.8539441450269476
29,svc,30,0.8539441450269476,0.8539441450269476
30,svc,40,0.8539441450269476,0.8539441450269476
31,svc,50,0.8539441450269476,0.8539441450269476
32,svc,60,0.8539441450269476,0.8539441450269476
33,svc,70,0.8539441450269476,0.8539441450269476
34,svc,80,0.8539441450269476,0.8539441450269476
35,svc,90,0.8539441450269476,0.8539441450269476
36,svc,100,0.8539441450269476,0.8539441450269476
37,svc,110,0.8539441450269476,0.8539441450269476
38,svc,120,0.8539441450269476,0.8539441450269476
39,svc,130,0.8539441450269476,0.8539441450269476
40,svc,140,0.8539441450269476,0.8539441450269476
41,svc,150,0.8539441450269476,0.8539441450269476
42,lr,20,0.7269720725134738,0.7269720725134738
43,lr,30,0.7269720725134738,0.7269720725134738
44,lr,40,0.7269720725134738,0.7269720725134738
45,lr,50,0.7269720725134738,0.7269720725134738
46,lr,60,0.7269720725134738,0.7269720725134738
47,lr,70,0.7269720725134738,0.7269720725134738
48,lr,80,0.7269720725134738,0.7269720725134738
49,lr,90,0.7269720725134738,0.7269720725134738
50,lr,100,0.7269720725134738,0.7269720725134738
51,lr,110,0.7269720725134738,0.7269720725134738
52,lr,120,0.7269720725134738,0.7269720725134738
53,lr,130,0.7269720725134738,0.7269720725134738
54,lr,140,0.7269720725134738,0.7269720725134738
55,lr,150,0.7269720725134738,0.7269720725134738
56,rf,20,0.8231994120529152,0.8231994120529152
57,rf,30,0.8283194512493876,0.8283194512493876
58,rf,40,0.8231994120529152,0.8231994120529152
59,rf,50,0.8238363547280745,0.8238363547280745
60,rf,60,0.8289563939245468,0.8289563939245468
61,rf,70,0.8238363547280745,0.8238363547280745
62,rf,80,0.8238363547280745,0.8238363547280745
63,rf,90,0.8231994120529152,0.8231994120529152
64,rf,100,0.8199902008819207,0.8199902008819207
65,rf,110,0.8315286624203821,0.8315286624203821
66,rf,120,0.8238363547280745,0.8238363547280745
67,rf,130,0.8199902008819207,0.8199902008819207
68,rf,140,0.8238363547280745,0.8238363547280745
69,rf,150,0.8308917197452229,0.8308917197452229
70,dt,20,0.8193532582067614,0.8193532582067614
71,dt,30,0.8155071043606075,0.8155071043606075
72,dt,40,0.8193532582067614,0.8193532582067614
73,dt,50,0.8155071043606075,0.8155071043606075
74,dt,60,0.8155071043606075,0.8155071043606075
75,dt,70,0.8155071043606075,0.8155071043606075
76,dt,80,0.8231994120529152,0.8231994120529152
77,dt,90,0.8155071043606075,0.8155071043606075
78,dt,100,0.8193532582067614,0.8193532582067614
79,dt,110,0.8155071043606075,0.8155071043606075
80,dt,120,0.8193532582067614,0.8193532582067614
81,dt,130,0.8193532582067614,0.8193532582067614
82,dt,140,0.8155071043606075,0.8155071043606075
83,dt,150,0.8231994120529152,0.8231994120529152
84,knn,20,0.8110240078392945,0.8110240078392945
85,knn,30,0.8110240078392945,0.8110240078392945
86,knn,40,0.8110240078392945,0.8110240078392945
87,knn,50,0.8110240078392945,0.8110240078392945
88,knn,60,0.8110240078392945,0.8110240078392945
89,knn,70,0.8110240078392945,0.8110240078392945
90,knn,80,0.8110240078392945,0.8110240078392945
91,knn,90,0.8110240078392945,0.8110240078392945
92,knn,100,0.8110240078392945,0.8110240078392945
93,knn,110,0.8110240078392945,0.8110240078392945
94,knn,120,0.8110240078392945,0.8110240078392945
95,knn,130,0.8110240078392945,0.8110240078392945
96,knn,140,0.8110240078392945,0.8110240078392945
97,knn,150,0.8110240078392945,0.8110240078392945
