,model,C,BA,Score
0,xgb,0.01,0.8122488975992161,0.8122488975992161
1,xgb,0.02,0.868030377266046,0.868030377266046
2,xgb,0.03,0.8763351298383146,0.8763351298383146
3,xgb,0.04,0.8968397844194023,0.8968397844194023
4,xgb,0.05,0.8949044585987261,0.8949044585987261
5,xgb,0.06,0.9025967662910338,0.9025967662910338
6,xgb,0.07,0.9000244977951984,0.9000244977951984
7,xgb,0.08,0.9166829985301324,0.9166829985301324
8,xgb,0.09,0.9237383635472807,0.9237383635472807
9,xgb,0.1,0.9198922097011268,0.9198922097011268
10,lda,0.01,0.6878735913767761,0.6878735913767761
11,lda,0.02,0.8327535521803038,0.8327535521803038
12,lda,0.03,0.8711905928466438,0.8711905928466438
13,lda,0.04,0.8711905928466438,0.8711905928466438
14,lda,0.05,0.8840029397354239,0.8840029397354239
15,lda,0.06,0.8974522292993631,0.8974522292993631
16,lda,0.07,0.916046055854973,0.916046055854973
17,lda,0.08,0.9192552670259677,0.9192552670259677
18,lda,0.09,0.9211660950514453,0.9211660950514453
19,lda,0.1,0.9256491915727585,0.9256491915727585
20,svc,0.01,0.8327535521803038,0.8327535521803038
21,svc,0.02,0.9032582067613915,0.9032582067613915
22,svc,0.03,0.9397844194022538,0.9397844194022538
23,svc,0.04,0.9282214600685939,0.9282214600685939
24,svc,0.05,0.9397599216070553,0.9397599216070553
25,svc,0.06,0.9263106320431161,0.9263106320431161
26,svc,0.07,0.9308182263596276,0.9308182263596276
27,svc,0.08,0.9289073983341499,0.9289073983341499
28,svc,0.09,0.9404458598726115,0.9404458598726115
29,svc,0.1,0.9410828025477707,0.9410828025477707
30,lr,0.01,0.6519598236158746,0.6519598236158746
31,lr,0.02,0.8102890739833415,0.8102890739833415
32,lr,0.03,0.8750122488975992,0.8750122488975992
33,lr,0.04,0.8692552670259677,0.8692552670259677
34,lr,0.05,0.8782214600685938,0.8782214600685938
35,lr,0.06,0.8833414992650661,0.8833414992650661
36,lr,0.07,0.9032092111709946,0.9032092111709946
37,lr,0.08,0.9147476727094561,0.9147476727094561
38,lr,0.09,0.9230769230769231,0.9230769230769231
39,lr,0.1,0.9224399804017638,0.9224399804017638
40,rf,0.01,0.8122488975992161,0.8122488975992161
41,rf,0.02,0.8872611464968153,0.8872611464968153
42,rf,0.03,0.899436550710436,0.899436550710436
43,rf,0.04,0.8981381675649192,0.8981381675649192
44,rf,0.05,0.9250367466927977,0.9250367466927977
45,rf,0.06,0.9173444390004899,0.9173444390004899
46,rf,0.07,0.9250122488975991,0.9250122488975991
47,rf,0.08,0.9218030377266047,0.9218030377266047
48,rf,0.09,0.9250122488975991,0.9250122488975991
49,rf,0.1,0.9365507104360608,0.9365507104360608
50,dt,0.01,0.8122488975992161,0.8122488975992161
51,dt,0.02,0.8693532582067613,0.8693532582067613
52,dt,0.03,0.8738363547280745,0.8738363547280745
53,dt,0.04,0.8744977951984321,0.8744977951984321
54,dt,0.05,0.8866487016168545,0.8866487016168545
55,dt,0.06,0.8699902008819207,0.8699902008819207
56,dt,0.07,0.8802302792748653,0.8802302792748653
57,dt,0.08,0.8911317981381676,0.8911317981381676
58,dt,0.09,0.8847133757961784,0.8847133757961784
59,dt,0.1,0.9154581087702107,0.9154581087702107
60,knn,0.01,0.8090396864282214,0.8090396864282214
61,knn,0.02,0.9000734933855953,0.9000734933855953
62,knn,0.03,0.8981381675649192,0.8981381675649192
63,knn,0.04,0.8795198432141107,0.8795198432141107
64,knn,0.05,0.9154091131798139,0.9154091131798139
65,knn,0.06,0.8769475747182753,0.8769475747182753
66,knn,0.07,0.884639882410583,0.884639882410583
67,knn,0.08,0.8827290543851054,0.8827290543851054
68,knn,0.09,0.8647721705046546,0.8647721705046546
69,knn,0.1,0.8545075943165115,0.8545075943165115
